Time,Switch_state
2025-05-16 18:50:21,double click
2025-05-16 18:55:34,click
2025-05-16 18:56:31,click
2025-05-17 09:12:29,double click
2025-05-17 09:15:08,click
2025-05-17 17:37:54,double click
2025-05-17 18:02:32,double click
2025-05-18 09:41:05,double click
2025-05-18 16:42:10,double click
2025-05-19 10:13:54,double click
2025-05-20 09:25:15,double click
2025-05-20 09:39:23,double click
2025-05-20 09:54:12,double click
2025-05-20 10:49:21,double click
2025-05-20 14:39:04,double click
2025-05-20 15:50:51,click
2025-05-21 15:16:24,click
2025-05-21 15:24:37,click
2025-05-21 17:16:08,double click
2025-05-21 17:21:49,click
2025-05-22 11:46:51,double click
2025-05-22 11:47:44,double click
2025-05-22 14:53:59,double click
2025-05-23 10:05:13,double click
2025-05-23 11:57:43,double click
2025-05-23 14:01:56,double click
2025-05-23 16:47:17,double click
2025-05-23 17:25:26,double click
