Time,State
2025-05-15 18:04:05,0
2025-05-16 10:30:04,1
2025-05-16 10:53:04,0
2025-05-16 10:56:03,1
2025-05-16 11:30:04,0
2025-05-16 11:46:03,1
2025-05-16 12:02:04,0
2025-05-16 12:37:03,1
2025-05-16 12:42:05,0
2025-05-16 13:04:03,1
2025-05-16 19:37:06,0
2025-05-17 09:49:04,1
2025-05-17 12:11:06,0
2025-05-17 12:35:04,1
2025-05-17 20:07:05,0
2025-05-18 13:38:04,1
2025-05-18 18:44:05,0
2025-05-19 08:58:25,0
2025-05-19 09:26:03,1
2025-05-19 09:51:04,0
2025-05-19 09:53:03,1
2025-05-19 10:02:54,0
2025-05-19 10:06:04,1
2025-05-19 10:08:30,0
2025-05-19 10:10:19,1
2025-05-19 10:13:18,0
2025-05-19 10:22:26,1
2025-05-19 10:23:05,0
2025-05-19 10:25:15,1
2025-05-19 10:38:13,0
2025-05-19 14:38:03,1
2025-05-19 19:58:06,0
2025-05-20 08:44:04,1
2025-05-20 08:46:05,0
2025-05-20 11:16:03,1
2025-05-20 12:29:06,0
2025-05-20 12:50:04,1
2025-05-20 13:05:05,0
2025-05-20 13:34:05,1
2025-05-20 19:29:05,0
2025-05-21 14:17:04,1
2025-05-21 15:16:13,0
2025-05-21 15:16:21,1
2025-05-21 17:18:06,0
2025-05-22 10:26:04,1
2025-05-22 19:04:05,0
2025-05-23 08:57:03,1
2025-05-23 09:08:04,0
2025-05-23 09:23:03,1
2025-05-23 09:34:04,0
2025-05-23 09:45:03,1
2025-05-23 09:52:04,0
2025-05-23 09:55:03,1
2025-05-23 10:45:04,0
