Time,State
2025-05-15 18:40:13,0
2025-05-15 18:45:05,1
2025-05-15 19:54:47,0
2025-05-15 19:55:05,1
2025-05-15 19:55:10,0
2025-05-15 19:56:05,1
2025-05-15 19:56:12,0
2025-05-15 19:57:05,1
2025-05-15 20:02:38,0
2025-05-15 20:03:06,1
2025-05-15 20:24:44,0
2025-05-16 13:32:04,1
2025-05-16 14:24:05,0
2025-05-16 16:04:03,1
2025-05-16 17:53:06,0
2025-05-16 18:33:06,1
2025-05-16 20:05:07,0
2025-05-17 13:22:10,1
2025-05-17 13:22:13,1
2025-05-17 19:56:07,0
2025-05-18 15:15:06,1
2025-05-18 18:00:08,0
2025-05-18 18:08:06,1
2025-05-18 20:00:09,0
2025-05-19 14:48:05,1
2025-05-19 17:22:06,0
2025-05-20 13:16:05,1
2025-05-20 13:36:13,0
2025-05-20 13:36:14,1
2025-05-20 18:30:09,0
2025-05-20 18:40:06,1
2025-05-20 20:32:18,0
2025-05-21 14:53:05,1
2025-05-21 18:11:08,0
2025-05-22 10:11:07,1
2025-05-22 11:40:08,0
2025-05-22 14:30:05,1
2025-05-22 15:57:07,0
2025-05-22 18:30:06,1
2025-05-22 20:16:07,0
2025-05-23 13:17:04,1
2025-05-23 14:07:05,0
2025-05-23 16:54:05,1
2025-05-23 17:58:06,0
2025-05-23 18:22:05,1
2025-05-23 20:24:07,0
