Time,Illuminance(lux)
2025-05-15 16:29:29,339.0
2025-05-15 16:36:13,131.0
2025-05-15 16:36:18,108.0
2025-05-15 16:48:13,329.0
2025-05-15 17:24:07,352.0
2025-05-15 18:04:12,170.0
2025-05-15 18:04:17,116.0
2025-05-15 18:07:16,326.0
2025-05-15 18:08:15,134.0
2025-05-15 18:08:20,111.0
2025-05-15 18:18:46,110.0
2025-05-15 18:25:15,327.0
2025-05-15 18:34:11,176.0
2025-05-15 18:34:16,114.0
2025-05-15 18:36:15,325.0
2025-05-15 19:10:15,130.0
2025-05-15 19:10:20,107.0
2025-05-15 19:12:14,320.0
2025-05-15 19:13:24,343.0
2025-05-15 19:54:13,130.0
2025-05-15 19:54:18,106.0
2025-05-15 20:08:02,106.0
2025-05-15 21:02:40,117.0
2025-05-15 21:57:18,117.0
2025-05-15 22:51:56,117.0
2025-05-15 23:35:54,0.0
2025-05-15 23:46:35,0.0
2025-05-16 00:41:12,0.0
2025-05-16 01:35:50,0.0
2025-05-16 02:30:28,0.0
2025-05-16 03:25:06,0.0
2025-05-16 04:19:44,0.0
2025-05-16 05:14:22,0.0
2025-05-16 05:33:05,20.0
2025-05-16 05:33:10,10.0
2025-05-16 06:09:00,15.0
2025-05-16 06:42:22,17.0
2025-05-16 06:48:09,24.0
2025-05-16 07:03:38,26.0
2025-05-16 07:20:22,31.0
2025-05-16 07:27:14,38.0
2025-05-16 07:31:03,45.0
2025-05-16 07:37:00,153.0
2025-05-16 07:44:32,181.0
2025-05-16 07:51:14,214.0
2025-05-16 07:52:18,257.0
2025-05-16 07:52:33,315.0
2025-05-16 07:52:48,378.0
2025-05-16 07:53:08,448.0
2025-05-16 07:53:33,507.0
2025-05-16 07:53:43,597.0
2025-05-16 07:54:57,525.0
2025-05-16 07:55:12,432.0
2025-05-16 07:55:37,366.0
2025-05-16 07:58:11,306.0
2025-05-16 07:58:16,295.0
2025-05-16 07:59:17,258.0
2025-05-16 08:01:51,306.0
2025-05-16 08:02:01,441.0
2025-05-16 08:02:06,635.0
2025-05-16 08:02:11,1138.0
2025-05-16 08:02:16,1346.0
2025-05-16 08:02:26,987.0
2025-05-16 08:02:31,737.0
2025-05-16 08:02:36,550.0
2025-05-16 08:02:46,453.0
2025-05-16 08:03:26,511.0
2025-05-16 08:03:31,612.0
2025-05-16 08:03:36,791.0
2025-05-16 08:03:41,1073.0
2025-05-16 08:03:46,1471.0
2025-05-16 08:03:51,1723.0
2025-05-16 08:03:56,1422.0
2025-05-16 08:04:01,1026.0
2025-05-16 08:04:06,865.0
2025-05-16 08:04:11,730.0
2025-05-16 08:04:36,879.0
2025-05-16 08:04:45,1450.0
2025-05-16 08:05:05,973.0
2025-05-16 08:05:20,831.0
2025-05-16 08:05:50,983.0
2025-05-16 08:05:55,1383.0
2025-05-16 08:06:05,1118.0
2025-05-16 08:06:10,848.0
2025-05-16 08:06:30,689.0
2025-05-16 08:06:45,603.0
2025-05-16 08:07:04,754.0
2025-05-16 08:07:09,958.0
2025-05-16 08:07:14,1461.0
2025-05-16 08:07:19,2049.0
2025-05-16 08:07:24,2311.0
2025-05-16 08:07:34,1939.0
2025-05-16 08:07:44,1204.0
2025-05-16 08:07:49,914.0
2025-05-16 08:07:54,775.0
2025-05-16 08:07:59,636.0
2025-05-16 08:08:09,541.0
2025-05-16 08:08:19,1020.0
2025-05-16 08:08:24,1304.0
2025-05-16 08:08:34,1631.0
2025-05-16 08:08:44,1129.0
2025-05-16 08:08:49,731.0
2025-05-16 08:08:54,525.0
2025-05-16 08:08:59,436.0
2025-05-16 08:09:14,359.0
2025-05-16 08:09:48,300.0
2025-05-16 08:10:08,251.0
2025-05-16 08:10:38,296.0
2025-05-16 08:10:48,362.0
2025-05-16 08:10:58,439.0
2025-05-16 08:11:13,504.0
2025-05-16 08:11:23,588.0
2025-05-16 08:11:38,1041.0
2025-05-16 08:11:43,1184.0
2025-05-16 08:11:48,907.0
2025-05-16 08:12:02,2215.0
2025-05-16 08:12:17,1734.0
2025-05-16 08:12:22,2039.0
2025-05-16 08:12:32,1790.0
2025-05-16 08:12:37,1535.0
2025-05-16 08:12:52,1156.0
2025-05-16 08:12:57,930.0
2025-05-16 08:13:02,815.0
2025-05-16 08:13:12,670.0
2025-05-16 08:13:22,546.0
2025-05-16 08:14:26,456.0
2025-05-16 08:14:41,370.0
2025-05-16 08:15:41,436.0
2025-05-16 08:15:51,542.0
2025-05-16 08:16:01,610.0
2025-05-16 08:16:21,521.0
2025-05-16 08:17:25,427.0
2025-05-16 08:18:20,356.0
2025-05-16 08:19:09,300.0
2025-05-16 08:19:34,251.0
2025-05-16 08:20:29,213.0
2025-05-16 08:22:13,284.0
2025-05-16 08:22:38,336.0
2025-05-16 08:22:53,408.0
2025-05-16 08:23:13,331.0
2025-05-16 08:25:42,415.0
2025-05-16 08:25:52,544.0
2025-05-16 08:26:02,627.0
2025-05-16 08:27:11,554.0
2025-05-16 08:27:56,460.0
2025-05-16 08:28:16,381.0
2025-05-16 08:28:40,318.0
2025-05-16 08:29:00,262.0
2025-05-16 08:31:04,219.0
2025-05-16 08:34:28,291.0
2025-05-16 08:34:43,362.0
2025-05-16 08:39:01,304.0
2025-05-16 08:39:21,256.0
2025-05-16 08:40:40,302.0
2025-05-16 08:43:29,255.0
2025-05-16 08:50:06,187.0
2025-05-16 08:50:11,224.0
2025-05-16 08:52:55,226.0
2025-05-16 08:57:15,285.0
2025-05-16 09:03:13,242.0
2025-05-16 09:12:19,205.0
2025-05-16 09:19:11,242.0
2025-05-16 09:19:30,305.0
2025-05-16 09:20:15,253.0
2025-05-16 09:23:04,299.0
2025-05-16 09:23:59,363.0
2025-05-16 09:25:03,444.0
2025-05-16 09:25:23,512.0
2025-05-16 09:26:27,593.0
2025-05-16 09:27:47,684.0
2025-05-16 09:28:37,790.0
2025-05-16 09:29:26,686.0
2025-05-16 09:30:06,783.0
2025-05-16 09:30:26,685.0
2025-05-16 09:31:45,789.0
2025-05-16 09:32:55,700.0
2025-05-16 09:33:49,815.0
2025-05-16 09:35:04,713.0
2025-05-16 09:35:38,628.0
2025-05-16 09:36:48,708.0
2025-05-16 09:38:22,619.0
2025-05-16 09:38:47,545.0
2025-05-16 09:39:17,461.0
2025-05-16 09:40:21,523.0
2025-05-16 09:40:56,425.0
2025-05-16 09:47:33,455.0
2025-05-16 09:50:29,360.0
2025-05-16 09:52:18,425.0
2025-05-16 09:53:43,361.0
2025-05-16 09:54:37,426.0
2025-05-16 09:55:07,361.0
2025-05-16 09:57:16,306.0
2025-05-16 09:59:40,361.0
2025-05-16 10:01:34,425.0
2025-05-16 10:01:59,537.0
2025-05-16 10:03:48,604.0
2025-05-16 10:04:23,682.0
2025-05-16 10:06:22,556.0
2025-05-16 10:06:57,468.0
2025-05-16 10:07:17,397.0
2025-05-16 10:08:02,327.0
2025-05-16 10:11:40,389.0
2025-05-16 10:11:55,467.0
