Time,Illuminance(lux)
2025-05-15 16:57:56,475.0
2025-05-15 17:52:43,485.0
2025-05-15 18:47:30,492.0
2025-05-15 19:17:08,154.0
2025-05-15 19:17:13,118.0
2025-05-15 19:42:16,138.0
2025-05-15 20:07:11,91.0
2025-05-15 20:07:16,111.0
2025-05-15 20:07:36,131.0
2025-05-15 20:37:03,141.0
2025-05-15 21:31:49,141.0
2025-05-15 22:26:36,141.0
2025-05-15 23:21:22,141.0
2025-05-15 23:35:55,27.0
2025-05-15 23:36:00,14.0
2025-05-16 00:16:09,15.0
2025-05-16 01:10:55,15.0
2025-05-16 02:05:42,15.0
2025-05-16 03:00:28,15.0
2025-05-16 03:55:15,15.0
2025-05-16 04:50:01,15.0
2025-05-16 05:44:48,15.0
2025-05-16 06:39:34,17.0
2025-05-16 06:59:51,21.0
2025-05-16 07:27:33,28.0
2025-05-16 07:34:21,28.0
2025-05-16 07:37:02,154.0
2025-05-16 07:52:38,182.0
2025-05-16 08:12:07,221.0
2025-05-16 08:14:42,187.0
2025-05-16 08:29:08,176.0
2025-05-16 08:49:14,158.0
2025-05-16 08:56:12,505.0
2025-05-16 09:23:54,550.0
2025-05-16 09:25:06,580.0
2025-05-16 09:33:53,657.0
2025-05-16 09:34:08,351.0
2025-05-16 09:35:08,575.0
2025-05-16 09:38:22,580.0
2025-05-16 09:56:47,516.0
2025-05-16 10:01:56,585.0
2025-05-16 10:18:41,613.0
2025-05-16 10:19:08,315.0
2025-05-16 10:19:28,267.0
2025-05-16 10:20:08,363.0
2025-05-16 10:20:13,553.0
2025-05-16 10:27:11,260.0
2025-05-16 10:29:35,220.0
2025-05-16 10:32:09,499.0
2025-05-16 10:52:04,574.0
2025-05-16 10:59:32,509.0
2025-05-16 11:13:28,530.0
2025-05-16 12:08:15,546.0
2025-05-16 12:24:07,290.0
2025-05-16 12:24:12,240.0
2025-05-16 13:03:02,224.0
2025-05-16 13:24:38,203.0
2025-05-16 14:37:10,171.0
2025-05-16 14:38:10,503.0
2025-05-16 14:52:36,526.0
2025-05-16 15:47:23,494.0
2025-05-16 15:53:28,298.0
2025-05-16 15:53:33,392.0
2025-05-16 16:00:51,463.0
2025-05-16 16:42:10,491.0
2025-05-16 17:35:27,236.0
2025-05-16 17:35:32,175.0
2025-05-16 17:35:37,437.0
2025-05-16 17:36:56,491.0
2025-05-16 17:53:04,500.0
2025-05-16 18:11:29,335.0
2025-05-16 18:11:39,484.0
2025-05-16 18:55:09,189.0
2025-05-16 18:55:14,153.0
2025-05-16 18:55:44,471.0
2025-05-16 18:56:09,190.0
2025-05-16 18:56:14,153.0
2025-05-16 18:56:39,473.0
2025-05-16 19:26:30,495.0
2025-05-16 19:32:11,183.0
2025-05-16 19:32:16,149.0
2025-05-16 19:33:10,470.0
2025-05-16 19:52:55,152.0
2025-05-16 19:55:39,458.0
2025-05-16 20:00:08,210.0
2025-05-16 20:00:13,160.0
2025-05-16 20:19:28,135.0
2025-05-16 20:21:17,144.0
2025-05-16 21:16:04,133.0
2025-05-16 21:36:01,109.0
2025-05-16 21:36:36,132.0
2025-05-16 21:58:40,0.0
2025-05-16 22:10:52,0.0
2025-05-16 23:05:39,0.0
2025-05-17 00:00:26,0.0
2025-05-17 00:55:12,0.0
2025-05-17 01:49:59,0.0
2025-05-17 02:44:46,0.0
2025-05-17 03:39:33,0.0
2025-05-17 04:34:19,0.0
2025-05-17 05:29:06,0.0
2025-05-17 05:41:05,23.0
