Time,State
2025-05-16 09:37:06,1
2025-05-16 10:59:07,0
2025-05-16 12:32:43,1
2025-05-16 13:22:06,0
2025-05-16 14:01:35,1
2025-05-16 14:02:06,0
2025-05-16 14:02:10,1
2025-05-16 14:03:06,0
2025-05-16 14:03:09,1
2025-05-16 14:04:05,0
2025-05-16 14:04:08,1
2025-05-16 14:05:06,0
2025-05-16 14:05:10,1
2025-05-16 14:52:05,0
2025-05-16 15:04:52,1
2025-05-16 20:05:09,0
2025-05-16 20:43:08,1
2025-05-16 20:43:12,0
2025-05-16 20:43:17,1
2025-05-16 20:44:08,0
2025-05-16 20:44:14,1
2025-05-16 20:45:07,0
2025-05-16 20:45:11,1
2025-05-16 20:46:07,0
2025-05-16 20:46:12,1
2025-05-16 20:47:08,0
2025-05-16 20:47:10,1
2025-05-16 20:48:07,0
2025-05-16 20:48:10,1
2025-05-16 20:49:08,0
2025-05-16 20:49:16,1
2025-05-16 20:50:07,0
2025-05-16 20:50:13,1
2025-05-16 20:51:08,0
2025-05-16 20:51:10,1
2025-05-16 20:52:07,0
2025-05-16 20:52:12,1
2025-05-16 20:53:08,0
2025-05-16 20:53:12,1
2025-05-16 20:54:07,0
2025-05-16 20:54:13,1
2025-05-16 20:55:08,0
2025-05-16 21:00:37,1
2025-05-16 21:01:07,0
2025-05-16 21:13:44,1
2025-05-17 08:53:17,0
2025-05-17 10:20:32,1
2025-05-17 10:31:09,0
2025-05-17 12:01:01,1
2025-05-17 18:19:08,0
2025-05-19 08:35:27,1
2025-05-19 08:35:34,0
2025-05-19 08:35:38,1
2025-05-19 08:36:36,0
2025-05-19 08:45:13,1
2025-05-19 09:40:09,0
2025-05-19 18:28:35,1
2025-05-19 18:49:06,0
2025-05-19 19:00:24,1
2025-05-19 19:50:09,0
2025-05-19 19:53:10,1
2025-05-19 19:57:09,0
2025-05-20 10:15:12,1
2025-05-20 10:19:13,0
2025-05-20 15:24:15,1
2025-05-20 20:00:10,0
2025-05-21 14:12:57,1
2025-05-21 14:13:11,0
2025-05-22 02:53:32,0
2025-05-22 14:55:07,1
2025-05-22 15:05:07,0
2025-05-22 19:02:02,1
2025-05-22 19:02:08,0
