time,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10,state
203530,-100,-100,-95,-100,-81,-100,-73,-84,-78,-92,leave
203540,-100,-92,-100,-87,-60,-100,-90,-84,-100,-91,leave
203550,-100,-94,-100,-100,-88,-100,-100,-100,-86,-92,leave
203600,-100,-100,-95,-100,-94,-100,-100,-100,-90,-100,leave
203610,-100,-100,-100,-100,-100,-100,-100,-91,-100,-95,leave
203620,-100,-100,-100,-100,-92,-100,-100,-85,-100,-100,leave
203630,-100,-80,-100,-100,-77,-100,-96,-100,-100,-81,leave
203640,-90,-100,-77,-100,-70,-78,-100,-100,-87,-85,leave
203650,-100,-89,-100,-100,-100,-100,-100,-87,-89,-82,leave
203600,-100,-100,-95,-100,-94,-100,-100,-100,-90,-100,leave
203610,-100,-100,-100,-100,-100,-100,-100,-91,-100,-95,leave
203620,-100,-100,-100,-100,-92,-100,-100,-85,-100,-100,leave
203630,-100,-80,-100,-100,-77,-100,-96,-100,-100,-81,leave
203640,-90,-100,-77,-100,-70,-78,-100,-100,-87,-85,leave
203650,-100,-89,-100,-100,-100,-100,-100,-87,-89,-82,leave
203700,-87,-76,-75,-82,-79,-84,-100,-100,-100,-100,leave
203710,-100,-100,-100,-100,-100,-94,-100,-86,-100,-100,leave
203720,-67,-59,-91,-94,-81,-100,-100,-100,-100,-100,leave
203730,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,leave
203740,-83,-83,-96,-100,-91,-100,-100,-100,-100,-100,leave
203750,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,leave
203700,-87,-76,-75,-82,-79,-84,-100,-100,-100,-100,leave
203710,-100,-100,-100,-100,-100,-94,-100,-86,-100,-100,leave
203720,-67,-59,-91,-94,-81,-100,-100,-100,-100,-100,leave
203730,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,leave
203740,-83,-83,-96,-100,-91,-100,-100,-100,-100,-100,leave
203750,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,leave
203800,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
203810,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
203820,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
203830,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
203840,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
203850,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,out
100900,-100,-100,-90,-100,-100,-100,-100,-54,-60,-71,stay
100910,-100,-100,-95,-100,-100,-83,-100,-60,-59,-70,stay
100920,-100,-100,-100,-100,-87,-100,-100,-56,-100,-65,stay
100930,-100,-100,-100,-100,-86,-100,-100,-55,-100,-70,stay
100940,-100,-100,-100,-100,-100,-100,-70,-55,-59,-100,stay
100950,-100,-100,-100,-100,-100,-100,-100,-57,-60,-67,stay
101000,-100,-100,-100,-100,-100,-83,-100,-56,-60,-69,stay
101010,-100,-100,-93,-100,-100,-100,-80,-58,-100,-78,stay
101020,-100,-100,-100,-100,-89,-100,-100,-57,-64,-100,stay
101030,-100,-100,-90,-100,-86,-100,-100,-53,-60,-71,stay
101040,-100,-100,-100,-100,-87,-83,-100,-59,-100,-74,stay
101050,-100,-100,-92,-100,-88,-100,-100,-58,-100,-72,stay
101000,-100,-100,-100,-100,-100,-83,-100,-56,-60,-69,stay
101010,-100,-100,-93,-100,-100,-100,-80,-58,-100,-78,stay
101020,-100,-100,-100,-100,-89,-100,-100,-57,-64,-100,stay
