Time,Indoor_temperature
2025-05-15 00:08:29,26.13
2025-05-15 00:27:46,26.15
2025-05-15 00:53:56,25.98
2025-05-15 01:18:45,25.84
2025-05-15 01:31:31,25.79
2025-05-15 02:04:23,25.7
2025-05-15 02:13:26,25.71
2025-05-15 02:46:39,25.39
2025-05-15 03:05:26,25.26
2025-05-15 03:08:08,25.4
2025-05-15 03:13:40,25.77
2025-05-15 03:22:24,26.28
2025-05-15 03:35:09,26.79
2025-05-15 03:46:23,26.96
2025-05-15 04:01:08,27.2
2025-05-15 04:33:41,27.46
2025-05-15 04:57:39,27.55
2025-05-15 05:04:52,27.55
2025-05-15 05:48:18,27.53
2025-05-15 06:12:47,27.63
2025-05-15 06:48:40,27.59
2025-05-15 07:04:26,27.63
2025-05-15 07:18:11,27.6
2025-05-15 07:28:35,27.64
2025-05-15 07:47:32,27.59
2025-05-15 08:11:11,27.63
2025-05-15 08:41:42,27.63
2025-05-15 08:44:13,27.64
2025-05-15 09:38:32,27.81
2025-05-15 10:30:21,27.35
2025-05-15 11:06:24,27.13
2025-05-15 11:23:20,27.08
2025-05-15 11:34:04,27.44
2025-05-15 12:00:45,27.79
2025-05-15 12:22:33,27.91
2025-05-15 12:40:01,27.27
2025-05-15 13:07:11,26.75
2025-05-15 13:14:44,26.65
2025-05-15 13:19:06,26.66
2025-05-15 13:57:32,26.5
2025-05-15 14:05:45,26.51
2025-05-15 14:11:58,26.54
2025-05-15 15:09:51,26.33
2025-05-15 15:12:32,26.3
2025-05-15 16:03:12,26.54
2025-05-15 16:34:24,26.61
2025-05-15 16:39:36,26.66
2025-05-15 17:16:01,26.23
2025-05-15 17:34:08,26.23
2025-05-15 17:54:06,26.26
2025-05-15 18:50:48,26.12
2025-05-15 19:26:02,26.26
2025-05-15 19:41:48,26.31
2025-05-15 19:50:01,26.19
2025-05-15 20:13:01,26.13
2025-05-15 20:42:22,25.82
2025-05-15 20:48:45,25.64
2025-05-15 20:59:19,25.32
2025-05-15 21:23:48,25.44
2025-05-15 21:40:55,25.56
2025-05-15 21:44:07,25.57
2025-05-15 22:15:59,25.48
2025-05-15 22:42:50,25.59
2025-05-15 23:40:22,25.67
2025-05-15 23:59:20,25.65
2025-05-16 00:13:06,25.64
2025-05-16 00:32:43,25.5
2025-05-16 00:33:34,25.51
2025-05-16 00:59:34,25.5
2025-05-16 01:24:04,25.41
2025-05-16 01:49:14,25.37
2025-05-16 02:17:25,25.34
2025-05-16 02:22:58,25.28
2025-05-16 03:13:07,25.15
2025-05-16 03:24:22,25.07
2025-05-16 03:31:05,25.11
2025-05-16 04:11:51,24.99
2025-05-16 04:17:03,24.99
2025-05-16 04:38:42,24.97
2025-05-16 05:06:43,24.98
2025-05-16 05:10:05,24.94
2025-05-16 05:21:50,24.91
2025-05-16 05:57:24,24.88
2025-05-16 06:04:37,24.91
2025-05-16 06:34:39,24.78
2025-05-16 06:55:47,24.78
2025-05-16 07:10:53,24.77
2025-05-16 07:15:56,24.8
2025-05-16 07:32:42,24.76
2025-05-16 07:52:50,24.95
2025-05-16 08:14:29,25.29
2025-05-16 08:32:47,25.36
2025-05-16 08:48:23,25.37
2025-05-16 09:38:43,25.86
2025-05-16 09:41:34,25.93
2025-05-16 09:54:50,25.95
2025-05-16 10:31:13,26.1
2025-05-16 10:39:57,26.1
2025-05-16 11:30:56,26.5
2025-05-16 11:31:27,26.54
2025-05-16 11:46:13,27.0
2025-05-16 12:03:09,27.11
2025-05-16 12:20:45,27.25
2025-05-16 12:22:26,27.31
2025-05-16 12:37:22,27.76
2025-05-16 12:44:35,27.73
2025-05-16 13:04:33,27.77
2025-05-16 13:12:56,27.81
2025-05-16 13:24:11,27.87
2025-05-16 13:54:02,27.98
2025-05-16 14:09:48,27.63
2025-05-16 14:10:49,27.57
2025-05-16 14:22:04,27.06
2025-05-16 14:37:19,26.69
2025-05-16 15:02:19,26.74
2025-05-16 15:09:12,26.82
2025-05-16 15:44:15,26.78
2025-05-16 15:48:37,26.78
2025-05-16 15:52:49,26.76
2025-05-16 15:59:11,26.71
2025-05-16 16:14:48,26.75
2025-05-16 16:28:54,26.57
2025-05-16 16:40:28,26.65
2025-05-16 16:53:44,26.62
2025-05-16 17:45:35,26.43
2025-05-16 18:38:47,26.3
2025-05-16 19:19:44,26.15
2025-05-16 19:33:50,26.22
2025-05-16 19:40:54,26.22
2025-05-16 20:08:35,26.75
2025-05-16 20:20:20,27.25
2025-05-16 20:26:23,27.42
2025-05-16 20:37:58,27.76
2025-05-16 20:46:31,27.87
2025-05-16 21:20:54,28.31
2025-05-16 21:24:56,28.35
2025-05-16 21:40:32,28.47
2025-05-16 22:04:02,28.25
2025-05-16 22:13:45,28.15
2025-05-16 22:24:50,28.11
2025-05-16 23:09:17,27.79
2025-05-16 23:22:43,27.79
2025-05-16 23:37:48,27.73
2025-05-17 00:06:19,27.69
2025-05-17 00:25:27,27.66
2025-05-17 00:57:49,27.55
2025-05-17 01:35:04,27.55
2025-05-17 01:51:30,27.51
2025-05-17 01:55:02,27.52
2025-05-17 01:57:33,27.53
2025-05-17 02:35:18,27.39
2025-05-17 02:48:33,27.39
2025-05-17 03:46:15,27.31
2025-05-17 03:59:31,27.24
2025-05-17 04:09:25,27.21
2025-05-17 04:42:47,27.13
2025-05-17 05:07:27,27.11
2025-05-17 05:40:30,27.06
2025-05-17 06:06:00,26.99
2025-05-17 06:36:42,26.94
2025-05-17 06:38:13,26.96
