Time,State
2025-05-15 18:04:05,1
2025-05-15 19:30:08,0
2025-05-18 14:38:10,1
2025-05-18 20:00:11,0
2025-05-19 08:51:46,1
2025-05-19 19:58:10,0
2025-05-20 08:54:14,1
2025-05-20 08:55:00,1
2025-05-20 11:18:08,0
2025-05-20 12:59:06,1
2025-05-20 18:39:10,0
2025-05-20 18:42:08,1
2025-05-20 20:32:32,0
2025-05-21 12:59:07,1
2025-05-21 18:53:11,0
2025-05-21 22:10:08,1
2025-05-21 22:31:09,0
2025-05-22 08:38:08,1
2025-05-22 08:51:09,0
2025-05-22 10:10:11,1
2025-05-22 12:00:09,0
2025-05-22 12:02:07,1
2025-05-22 12:21:20,0
2025-05-22 14:29:06,1
2025-05-22 15:19:06,0
2025-05-22 15:20:05,1
2025-05-22 20:29:08,0
2025-05-23 19:30:06,1
2025-05-23 20:11:07,0
2025-05-24 13:47:06,1
