Time,Energy_Consumption(Wh)
2025-05-15 00:57:16,3026268.0
2025-05-15 01:57:09,3026959.0
2025-05-15 02:57:02,3027746.0
2025-05-15 03:56:56,3027836.0
2025-05-15 12:23:34,3027847.0
2025-05-15 13:23:27,3028627.0
2025-05-15 15:23:14,3030195.0
2025-05-15 16:23:08,3030559.0
2025-05-15 17:23:00,3031324.0
2025-05-15 18:22:54,3032091.0
2025-05-15 19:22:47,3032837.0
2025-05-15 20:22:40,3033470.0
2025-05-15 21:22:33,3034229.0
2025-05-15 22:22:27,3034985.0
2025-05-15 23:22:22,3035018.0
2025-05-16 10:11:53,3035029.0
2025-05-16 11:22:08,3035040.0
2025-05-16 12:22:01,3035064.0
2025-05-16 13:21:56,3035088.0
2025-05-16 14:21:49,3035481.0
2025-05-16 15:21:42,3036306.0
2025-05-16 16:21:35,3037125.0
2025-05-16 17:21:28,3037927.0
2025-05-16 18:21:22,3038625.0
2025-05-16 19:21:15,3039423.0
2025-05-16 20:21:08,3039908.0
2025-05-17 07:14:26,3039919.0
2025-05-17 09:02:21,3039930.0
2025-05-17 10:02:15,3040725.0
2025-05-17 11:02:09,3041492.0
2025-05-17 12:02:03,3041515.0
2025-05-17 13:01:56,3041539.0
2025-05-17 14:01:49,3042225.0
2025-05-17 15:01:42,3043049.0
2025-05-17 16:01:35,3043874.0
2025-05-17 17:38:39,3044650.0
2025-05-17 18:38:32,3045466.0
2025-05-17 19:38:26,3046212.0
2025-05-17 20:38:19,3046593.0
2025-05-17 22:08:13,3046604.0
2025-05-17 23:08:06,3047409.0
2025-05-18 00:07:59,3048119.0
2025-05-18 01:07:52,3048424.0
2025-05-18 08:59:41,3048435.0
2025-05-18 09:59:35,3049234.0
2025-05-18 10:59:28,3050032.0
2025-05-18 11:59:23,3050063.0
2025-05-18 12:59:15,3050844.0
2025-05-18 13:59:07,3051668.0
2025-05-18 14:59:00,3052470.0
2025-05-18 15:58:53,3053226.0
2025-05-18 16:58:46,3054037.0
2025-05-18 17:58:39,3054794.0
2025-05-18 18:58:33,3055600.0
2025-05-18 19:58:26,3056355.0
2025-05-18 20:58:20,3056813.0
2025-05-18 21:58:12,3057618.0
2025-05-18 22:58:05,3058079.0
2025-05-19 08:45:29,3058090.0
2025-05-19 09:45:23,3058896.0
2025-05-19 10:45:16,3059714.0
2025-05-19 11:45:10,3059934.0
2025-05-19 12:45:03,3060671.0
2025-05-19 13:44:55,3061532.0
2025-05-19 14:44:48,3062397.0
2025-05-19 16:08:04,3063254.0
2025-05-19 17:07:56,3064105.0
2025-05-19 18:07:48,3064898.0
2025-05-19 19:07:41,3065739.0
2025-05-19 20:07:34,3066533.0
2025-05-19 21:07:26,3067327.0
2025-05-19 22:07:19,3068129.0
2025-05-19 23:07:12,3068935.0
2025-05-21 00:43:26,3086325.0
2025-05-21 01:43:19,3087130.0
2025-05-21 02:43:14,3087376.0
2025-05-21 03:43:06,3088189.0
2025-05-21 04:42:59,3088958.0
2025-05-21 05:42:53,3089728.0
2025-05-21 06:42:46,3090516.0
2025-05-21 12:20:19,3090527.0
2025-05-21 13:20:12,3091168.0
2025-05-21 14:20:04,3091340.0
2025-05-21 16:18:39,3091640.0
2025-05-21 17:18:31,3092535.0
2025-05-21 18:18:23,3093422.0
2025-05-21 19:18:16,3093931.0
2025-05-21 22:10:49,3093942.0
2025-05-21 23:10:44,3094231.0
2025-05-22 08:22:28,3094242.0
2025-05-22 09:22:24,3094639.0
2025-05-22 10:22:19,3095407.0
2025-05-22 11:22:14,3096220.0
2025-05-22 12:22:07,3097042.0
2025-05-22 13:22:01,3097865.0
2025-05-22 14:21:56,3098700.0
2025-05-22 15:21:50,3099538.0
2025-05-22 16:21:42,3100317.0
2025-05-22 17:21:35,3101095.0
2025-05-22 18:21:28,3101859.0
2025-05-22 19:21:20,3102603.0
2025-05-22 20:21:13,3103305.0
2025-05-22 21:21:06,3103562.0
2025-05-23 08:13:06,3103573.0
2025-05-23 09:52:33,3103584.0
2025-05-23 10:52:28,3103604.0
2025-05-23 14:00:44,3103615.0
2025-05-23 15:00:37,3104406.0
2025-05-23 16:00:30,3105205.0
2025-05-23 17:00:23,3105973.0
2025-05-23 18:00:17,3106432.0
2025-05-23 19:00:11,3106551.0
2025-05-23 20:00:04,3107320.0
2025-05-23 20:59:58,3107632.0
2025-05-24 07:49:39,3107643.0
2025-05-24 13:57:32,3107654.0
2025-05-24 14:57:25,3108442.0
2025-05-24 15:57:18,3109272.0
2025-05-24 16:57:11,3110064.0
2025-05-24 17:57:05,3110786.0
2025-05-24 18:56:58,3111537.0
2025-05-24 19:56:51,3112337.0
2025-05-24 20:56:44,3113089.0
2025-05-24 21:56:38,3113885.0
2025-05-24 22:56:31,3114628.0
2025-05-24 23:56:24,3115244.0
