Time,Indoor_temperature
2025-05-25 00:13:25,26.3
2025-05-25 00:21:08,26.58
2025-05-25 00:32:02,26.75
2025-05-25 00:49:18,26.99
2025-05-25 01:21:50,27.16
2025-05-25 01:42:27,27.17
2025-05-25 01:43:49,27.18
2025-05-25 02:14:50,27.17
2025-05-25 02:26:04,27.16
2025-05-25 02:37:58,27.24
2025-05-25 02:48:02,27.18
2025-05-25 03:27:16,27.2
2025-05-25 03:32:59,27.23
2025-05-25 04:17:34,27.18
2025-05-25 04:25:38,27.22
2025-05-25 04:30:40,27.12
2025-05-25 04:46:56,27.14
2025-05-25 04:49:07,27.16
2025-05-25 05:16:37,27.12
2025-05-25 05:28:21,27.03
2025-05-25 05:45:18,27.06
2025-05-25 06:17:09,27.05
2025-05-25 06:27:33,26.98
2025-05-25 06:55:33,26.96
2025-05-25 07:03:47,27.0
2025-05-25 07:08:39,27.0
2025-05-25 07:09:59,26.99
2025-05-25 07:19:33,27.0
2025-05-25 07:32:38,27.02
2025-05-25 08:13:43,26.98
2025-05-25 08:14:24,26.98
2025-05-25 08:40:33,27.05
2025-05-25 09:07:33,27.0
2025-05-25 09:27:51,27.03
2025-05-25 09:44:16,27.02
2025-05-25 10:03:13,27.05
2025-05-25 10:10:26,27.1
2025-05-25 10:53:52,27.17
2025-05-25 10:59:34,27.16
2025-05-25 11:06:47,27.17
2025-05-25 11:33:07,27.23
2025-05-25 11:44:41,27.3
2025-05-25 11:50:03,27.29
2025-05-25 11:56:15,27.36
2025-05-25 11:57:46,27.33
2025-05-25 12:09:31,27.41
2025-05-25 12:27:47,27.27
2025-05-25 12:34:00,26.77
2025-05-25 12:41:13,26.53
2025-05-25 12:46:15,26.44
2025-05-25 12:52:17,26.2
2025-05-25 13:02:52,25.93
2025-05-25 13:17:57,25.85
2025-05-25 13:24:20,25.83
2025-05-25 13:26:51,25.85
2025-05-25 13:46:38,25.79
2025-05-25 13:50:20,25.78
2025-05-25 14:01:24,25.72
2025-05-25 14:23:32,25.83
2025-05-25 14:45:40,25.75
2025-05-25 15:08:29,25.71
2025-05-25 15:34:09,25.52
2025-05-25 15:38:00,25.61
2025-05-25 15:40:12,25.71
2025-05-25 15:54:37,25.96
2025-05-25 16:28:30,25.88
2025-05-25 16:50:08,26.02
2025-05-25 17:25:01,26.12
2025-05-25 17:26:21,26.15
2025-05-25 17:46:09,25.61
2025-05-25 18:15:40,25.45
2025-05-25 18:24:44,25.14
2025-05-25 19:07:09,25.98
2025-05-25 19:20:45,25.92
2025-05-25 19:23:46,25.92
2025-05-25 19:26:07,25.86
2025-05-25 20:08:13,25.78
2025-05-25 20:15:15,25.74
2025-05-25 20:30:32,25.67
2025-05-25 21:14:58,25.42
2025-05-25 21:21:41,25.52
2025-05-25 22:13:39,25.86
2025-05-25 22:45:52,25.02
2025-05-25 23:00:57,24.85
2025-05-25 23:07:00,24.89
2025-05-25 23:29:09,25.36
2025-05-26 00:02:31,25.63
2025-05-26 00:33:42,25.63
2025-05-26 00:34:13,25.63
2025-05-26 00:53:00,25.6
2025-05-26 01:04:35,25.31
2025-05-26 01:04:45,25.29
2025-05-26 01:05:36,25.31
2025-05-26 01:44:40,25.12
2025-05-26 01:51:23,25.12
2025-05-26 02:12:11,25.37
2025-05-26 02:25:56,25.44
2025-05-26 02:26:57,25.45
2025-05-26 02:49:55,25.37
2025-05-26 03:33:42,25.23
2025-05-26 03:47:17,25.3
2025-05-26 04:18:19,25.29
2025-05-26 04:43:08,25.23
2025-05-26 05:07:38,25.16
2025-05-26 05:11:40,25.16
2025-05-26 05:19:13,25.14
2025-05-26 05:23:35,25.1
2025-05-26 05:34:39,25.12
2025-05-26 05:44:23,25.09
2025-05-26 05:45:04,25.06
2025-05-26 05:45:44,25.09
2025-05-26 06:09:53,24.99
2025-05-26 06:30:21,24.97
2025-05-26 06:46:07,25.02
2025-05-26 07:21:50,25.03
2025-05-26 07:26:02,25.08
2025-05-26 08:02:56,25.24
2025-05-26 08:07:58,25.33
2025-05-26 08:24:55,25.44
2025-05-26 09:16:24,25.65
2025-05-26 09:25:26,25.74
2025-05-26 09:51:27,25.74
2025-05-26 10:16:37,25.58
2025-05-26 11:01:14,25.23
2025-05-26 11:07:56,25.27
2025-05-26 11:38:28,25.31
2025-05-26 11:39:59,25.34
2025-05-26 11:45:21,25.33
2025-05-26 12:07:09,25.54
2025-05-26 12:07:50,25.49
2025-05-26 12:26:47,25.68
2025-05-26 12:41:32,25.55
2025-05-26 12:43:23,25.57
2025-05-26 12:46:55,25.57
2025-05-26 13:01:50,25.65
2025-05-26 13:08:03,25.78
2025-05-26 13:20:08,26.0
2025-05-26 13:44:37,26.31
2025-05-26 13:57:42,26.45
2025-05-26 13:58:53,26.44
2025-05-26 14:18:20,26.23
2025-05-26 14:25:23,26.03
2025-05-26 14:37:17,26.12
2025-05-26 14:53:33,26.12
2025-05-26 14:54:04,26.12
2025-05-26 15:06:59,26.37
2025-05-26 15:07:19,26.43
2025-05-26 15:10:41,26.53
2025-05-26 15:14:12,26.61
2025-05-26 15:18:04,26.71
2025-05-26 15:36:41,26.86
2025-05-26 15:51:56,26.83
2025-05-26 16:02:00,26.96
2025-05-26 16:33:22,26.45
2025-05-26 16:49:18,26.55
2025-05-26 16:57:41,26.5
2025-05-26 17:03:54,26.48
2025-05-26 17:06:15,26.54
2025-05-26 17:08:46,26.51
2025-05-26 17:21:31,26.45
2025-05-26 17:48:51,26.43
2025-05-26 18:40:10,26.48
2025-05-26 18:42:41,26.44
2025-05-26 19:24:46,26.58
2025-05-26 19:32:29,26.54
2025-05-26 19:38:22,26.51
2025-05-26 20:00:50,26.34
2025-05-26 20:36:33,26.09
2025-05-26 20:36:54,26.1
2025-05-26 20:49:39,26.62
2025-05-26 20:55:41,27.14
2025-05-26 21:02:14,27.67
2025-05-26 21:13:28,28.17
2025-05-26 21:21:11,28.03
2025-05-26 21:25:02,27.52
2025-05-26 21:28:44,27.27
2025-05-26 21:30:55,27.0
