Datetime,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10
2025-05-15 08:48:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:49:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:49:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:49:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:49:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:49:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:49:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:50:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:50:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:50:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:50:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:50:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:50:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:51:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:51:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:51:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:51:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:51:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:51:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:52:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:52:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:52:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:52:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:52:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:52:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:53:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:53:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:53:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:53:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:53:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:53:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:54:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:54:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:54:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:54:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:54:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:54:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:55:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:55:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:55:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:55:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:55:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:55:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:56:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:56:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:56:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:56:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:56:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:56:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:57:00,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:57:10,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:57:20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:57:30,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:57:40,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2025-05-15 08:57:50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
