ID,State_t-5,State_t-4,State_t-3,State_t-2,State_t-1,State_t,State_predicted
138,outside,outside,outside,outside,outside,outside,outside
139,outside,outside,outside,outside,outside,outside,outside
140,outside,outside,outside,outside,outside,outside,outside
141,outside,outside,outside,outside,outside,outside,outside
142,outside,outside,outside,outside,outside,outside,outside
143,outside,outside,outside,outside,outside,outside,outside
144,outside,outside,outside,outside,outside,outside,outside
145,outside,outside,outside,outside,outside,outside,outside
146,outside,outside,outside,outside,outside,outside,outside
147,outside,outside,outside,outside,outside,outside,outside
148,outside,outside,outside,outside,outside,outside,outside
149,outside,outside,outside,outside,outside,outside,outside
150,outside,outside,outside,outside,outside,outside,outside
151,outside,outside,outside,outside,outside,outside,outside
152,outside,outside,outside,outside,outside,outside,outside
153,outside,outside,outside,outside,outside,outside,outside
154,outside,outside,outside,outside,outside,outside,outside
155,outside,outside,outside,outside,outside,outside,outside
156,outside,outside,outside,outside,outside,outside,outside
157,outside,outside,outside,outside,outside,outside,outside
158,outside,outside,outside,outside,outside,outside,outside
159,outside,outside,outside,outside,outside,outside,outside
160,outside,outside,outside,outside,outside,outside,outside
161,outside,outside,outside,outside,outside,outside,outside
162,outside,outside,outside,outside,outside,outside,outside
163,outside,outside,outside,outside,outside,outside,outside
164,outside,outside,outside,outside,outside,outside,outside
165,outside,outside,outside,outside,outside,outside,outside
166,outside,outside,outside,outside,outside,outside,outside
167,outside,outside,outside,outside,outside,outside,outside
168,outside,outside,outside,outside,outside,outside,outside
169,outside,outside,outside,outside,outside,outside,outside
170,outside,outside,outside,outside,outside,outside,outside
171,outside,outside,outside,outside,outside,outside,outside
172,outside,outside,outside,outside,outside,outside,outside
173,outside,outside,outside,outside,outside,outside,outside
174,outside,outside,outside,outside,outside,outside,outside
175,outside,outside,outside,outside,outside,outside,outside
176,outside,outside,outside,outside,outside,outside,outside
177,outside,outside,outside,outside,outside,outside,outside
178,outside,outside,outside,outside,outside,outside,outside
179,outside,outside,outside,outside,outside,outside,outside
180,outside,outside,outside,outside,outside,outside,outside
181,outside,outside,outside,outside,outside,outside,outside
182,outside,outside,outside,outside,outside,outside,outside
183,outside,outside,outside,outside,outside,outside,outside
184,outside,outside,outside,outside,outside,outside,outside
185,outside,outside,outside,outside,outside,outside,outside
186,outside,outside,outside,outside,outside,outside,outside
187,outside,outside,outside,outside,outside,outside,outside
188,outside,outside,outside,outside,outside,outside,outside
189,outside,outside,outside,outside,outside,outside,outside
190,outside,outside,outside,outside,outside,outside,outside
191,outside,outside,outside,outside,outside,outside,outside
192,outside,outside,outside,outside,outside,outside,outside
193,outside,outside,outside,outside,outside,outside,outside
194,outside,outside,outside,outside,outside,outside,outside
195,outside,outside,outside,outside,outside,outside,outside
196,outside,outside,outside,outside,outside,outside,outside
197,outside,outside,outside,outside,outside,outside,outside
198,outside,outside,outside,outside,outside,outside,outside
199,outside,outside,outside,outside,outside,outside,outside
200,outside,outside,outside,outside,outside,outside,outside
201,outside,outside,outside,outside,outside,outside,outside
202,outside,outside,outside,outside,outside,outside,outside
203,outside,outside,outside,outside,outside,outside,outside
204,outside,outside,outside,outside,outside,outside,outside
205,outside,outside,outside,outside,outside,outside,outside
206,outside,outside,outside,outside,outside,outside,outside
207,outside,outside,outside,outside,outside,outside,outside
208,outside,outside,outside,outside,outside,outside,outside
209,outside,outside,outside,outside,outside,outside,outside
210,outside,outside,outside,outside,outside,outside,outside
211,outside,outside,outside,outside,outside,outside,outside
212,outside,outside,outside,outside,outside,outside,outside
213,outside,outside,outside,outside,outside,outside,outside
214,outside,outside,outside,outside,outside,outside,outside
215,outside,outside,outside,outside,outside,outside,outside
216,outside,outside,outside,outside,outside,outside,outside
217,outside,outside,outside,outside,outside,outside,outside
218,outside,outside,outside,outside,outside,outside,outside
219,outside,outside,outside,outside,outside,outside,outside
220,outside,outside,outside,outside,outside,outside,outside
221,outside,outside,outside,outside,outside,arrival,outside
222,stay,stay,stay,stay,stay,stay,outside
223,stay,stay,stay,stay,outside,stay,outside
224,stay,stay,stay,outside,outside,stay,outside
225,stay,stay,outside,outside,outside,stay,outside
226,stay,outside,outside,outside,outside,stay,outside
227,outside,outside,outside,outside,outside,stay,outside
228,outside,outside,outside,outside,outside,stay,outside
229,outside,outside,outside,outside,outside,stay,outside
