Time,Switch_state
2025-05-26 14:42:29,click
2025-05-26 14:42:32,click
2025-05-26 14:42:37,double click
2025-05-26 14:42:43,double click
2025-05-26 14:44:14,double click
2025-05-26 15:16:03,click
2025-05-26 15:16:05,click
2025-05-26 15:16:07,double click
2025-05-28 09:03:32,double click
2025-05-28 09:33:39,double click
