Time,Energy_Consumption(Wh)
2025-05-25 00:56:17,3115296.0
2025-05-25 12:22:06,3115307.0
2025-05-25 13:22:00,3116114.0
2025-05-25 14:21:52,3116923.0
2025-05-25 15:21:45,3117725.0
2025-05-25 16:21:59,3118423.0
2025-05-25 17:21:32,3119217.0
2025-05-25 18:21:25,3119929.0
2025-05-25 19:21:18,3120704.0
2025-05-25 20:21:11,3121419.0
2025-05-25 21:21:04,3122072.0
2025-05-25 22:20:59,3122244.0
2025-05-25 23:20:52,3123024.0
2025-05-26 00:20:46,3123475.0
2025-05-26 01:20:40,3123921.0
2025-05-26 02:20:34,3124689.0
2025-05-26 03:20:29,3124899.0
2025-05-26 04:20:23,3124923.0
2025-05-26 05:20:20,3124947.0
2025-05-26 06:20:15,3124971.0
2025-05-26 07:20:09,3124996.0
2025-05-26 08:20:04,3125021.0
2025-05-26 10:23:09,3126498.0
2025-05-26 11:23:02,3127307.0
2025-05-26 13:22:49,3128528.0
2025-05-26 14:22:43,3128918.0
2025-05-26 15:22:37,3129385.0
2025-05-26 16:22:30,3129769.0
2025-05-26 17:22:23,3130619.0
2025-05-26 18:22:16,3131444.0
2025-05-26 19:22:09,3132208.0
2025-05-26 20:22:02,3132949.0
2025-05-26 21:21:56,3133225.0
2025-05-27 08:10:29,3133236.0
2025-05-27 09:10:22,3133986.0
2025-05-27 10:10:14,3134792.0
2025-05-27 11:10:07,3135586.0
2025-05-27 12:10:00,3136325.0
2025-05-27 13:09:53,3137122.0
2025-05-27 14:09:45,3137869.0
2025-05-27 15:09:39,3138593.0
2025-05-27 16:09:33,3139394.0
2025-05-27 17:09:26,3140029.0
2025-05-27 18:09:19,3140815.0
2025-05-27 19:09:12,3141511.0
2025-05-27 20:09:06,3142279.0
2025-05-27 21:08:59,3142698.0
2025-05-27 22:08:52,3143473.0
2025-05-27 23:08:45,3144111.0
2025-05-28 00:08:40,3144134.0
2025-05-28 01:08:34,3144158.0
2025-05-28 02:08:29,3144182.0
2025-05-28 03:08:22,3144206.0
2025-05-28 04:08:17,3144230.0
2025-05-28 05:08:12,3144253.0
2025-05-28 06:08:06,3144277.0
2025-05-28 07:08:01,3144301.0
2025-05-28 08:07:56,3144325.0
2025-05-28 09:07:51,3144349.0
2025-05-28 10:07:46,3145036.0
2025-05-28 11:07:41,3145796.0
2025-05-28 12:07:36,3146083.0
2025-05-28 13:07:32,3146773.0
2025-05-28 14:07:27,3147548.0
2025-05-28 15:07:22,3147999.0
2025-05-28 16:07:17,3148579.0
2025-05-28 17:07:12,3149345.0
2025-05-28 18:07:08,3149785.0
2025-05-28 19:07:02,3150503.0
2025-05-28 20:06:58,3151249.0
2025-05-28 21:06:52,3151655.0
2025-05-28 22:06:48,3152422.0
2025-05-28 23:06:41,3152561.0
2025-05-29 00:06:37,3152585.0
2025-05-29 01:06:32,3152609.0
2025-05-29 02:06:27,3152633.0
2025-05-29 10:34:00,3152668.0
2025-05-29 11:33:53,3153462.0
2025-05-29 12:33:46,3154199.0
2025-05-29 13:33:41,3154305.0
2025-05-29 14:33:34,3154974.0
2025-05-29 15:33:27,3155156.0
2025-05-29 16:33:20,3155986.0
2025-05-29 17:33:13,3156816.0
2025-05-29 18:33:06,3157571.0
2025-05-29 19:32:58,3158369.0
2025-05-29 20:32:51,3159099.0
2025-05-29 21:32:44,3159838.0
2025-05-29 22:32:37,3160636.0
2025-05-29 23:32:31,3161135.0
2025-05-30 08:41:49,3161146.0
2025-05-30 09:41:42,3161939.0
2025-05-30 10:41:35,3162741.0
2025-05-30 11:41:28,3163556.0
2025-05-30 12:41:20,3164377.0
2025-05-30 13:41:14,3164621.0
2025-05-30 14:41:06,3165175.0
2025-05-30 15:40:59,3166014.0
2025-05-30 16:40:51,3166846.0
2025-05-30 17:40:44,3167610.0
2025-05-30 18:40:36,3168429.0
2025-05-30 19:40:28,3169196.0
2025-05-30 20:40:21,3169944.0
2025-05-30 21:40:14,3170066.0
