Time,State
2025-05-19 15:30:44,1
2025-05-19 15:31:03,0
2025-05-19 15:31:36,1
2025-05-19 15:32:03,0
2025-05-19 15:32:07,1
2025-05-19 16:59:03,0
2025-05-21 12:14:52,1
2025-05-21 12:15:03,0
2025-05-21 12:15:11,1
2025-05-21 12:16:03,0
2025-05-21 12:16:18,1
2025-05-21 12:17:03,0
2025-05-21 12:17:08,1
2025-05-21 12:18:03,0
2025-05-21 12:18:07,1
2025-05-21 12:48:03,0
2025-05-21 12:48:08,1
2025-05-21 12:49:03,0
2025-05-21 12:49:06,1
2025-05-21 12:50:02,0
2025-05-21 12:50:05,1
2025-05-21 12:51:03,0
2025-05-21 12:51:14,1
2025-05-21 13:00:04,0
2025-05-21 13:02:02,1
2025-05-21 13:21:04,0
2025-05-21 13:43:50,1
2025-05-21 13:44:04,0
2025-05-21 13:44:07,1
2025-05-21 14:21:04,0
2025-05-21 14:21:07,1
2025-05-21 14:22:04,0
2025-05-21 14:22:13,1
2025-05-21 14:23:03,0
2025-05-21 14:23:06,1
2025-05-21 14:47:26,0
2025-05-21 14:47:33,1
2025-05-21 15:13:03,0
2025-05-21 15:24:50,1
2025-05-21 15:25:03,0
2025-05-21 15:25:09,1
2025-05-21 15:26:03,0
2025-05-21 15:26:06,1
2025-05-21 15:27:04,0
2025-05-21 15:27:11,1
2025-05-21 16:00:32,0
2025-05-21 16:01:03,1
2025-05-21 16:05:03,0
2025-05-22 11:13:32,1
2025-05-22 11:14:03,0
2025-05-22 11:14:06,1
2025-05-22 11:37:03,0
2025-05-22 11:37:10,1
2025-05-22 11:38:03,0
2025-05-22 11:38:08,1
2025-05-22 11:39:03,0
2025-05-22 11:39:13,1
2025-05-22 11:40:03,0
2025-05-22 11:40:09,1
2025-05-22 11:41:03,0
2025-05-22 11:41:13,1
2025-05-22 11:42:03,0
2025-05-22 11:42:12,1
2025-05-22 11:43:03,0
2025-05-22 11:43:09,1
2025-05-22 11:44:02,0
2025-05-22 11:44:09,1
2025-05-22 12:22:13,0
2025-05-23 15:00:02,0
