Time,State
2025-05-15 16:38:04,0
2025-05-15 19:04:04,1
2025-05-15 19:09:04,0
2025-05-15 19:38:04,1
2025-05-15 19:44:05,0
2025-05-16 10:41:03,1
2025-05-16 10:47:04,0
2025-05-16 12:10:03,1
2025-05-16 12:55:04,0
2025-05-16 18:21:04,1
2025-05-16 18:29:04,0
2025-05-16 18:36:04,1
2025-05-16 19:06:04,0
2025-05-16 19:54:04,1
2025-05-16 19:59:04,0
2025-05-17 12:21:05,1
2025-05-17 13:09:06,0
2025-05-18 10:59:07,1
2025-05-18 11:16:07,0
2025-05-18 12:28:04,1
2025-05-18 12:32:06,0
2025-05-18 19:56:55,1
2025-05-18 19:57:05,0
2025-05-19 09:33:16,1
2025-05-19 09:59:29,0
2025-05-19 16:10:05,1
2025-05-19 16:31:04,0
2025-05-20 15:27:04,1
2025-05-20 15:43:05,0
2025-05-20 15:45:05,1
2025-05-20 16:00:05,0
2025-05-20 16:08:05,1
2025-05-20 16:13:05,0
2025-05-20 17:25:05,1
2025-05-20 17:29:06,0
2025-05-20 18:30:06,1
2025-05-20 18:38:06,0
2025-05-20 18:49:05,1
2025-05-20 18:54:05,0
2025-05-20 19:20:05,1
2025-05-20 19:25:05,0
2025-05-20 19:33:05,1
2025-05-20 19:38:06,0
2025-05-20 19:52:06,1
2025-05-20 19:56:06,0
2025-05-22 17:05:09,1
2025-05-22 17:05:11,1
2025-05-22 17:44:04,0
2025-05-23 11:54:03,1
2025-05-23 11:56:04,0
2025-05-23 12:29:04,1
2025-05-23 12:35:04,0
2025-05-23 17:33:26,0
